Epoch : 179, Mean Accuracy(U) = 0.21715932141085606, Mean Accuracy(V) = 0.18443977200255107, Loss : 7.719095902972751
Epoch : 180, Mean Accuracy(U) = 0.2162594888215703, Mean Accuracy(V) = 0.18509867488662132, Loss : 7.713327280680338
Epoch : 181, Mean Accuracy(U) = 0.21790954174638613, Mean Accuracy(V) = 0.18482699232036567, Loss : 7.709881644778782
Epoch : 182, Mean Accuracy(U) = 0.21568891391191894, Mean Accuracy(V) = 0.18457380022321423, Loss : 7.710616726345486
Epoch : 183, Mean Accuracy(U) = 0.2174528991284014, Mean Accuracy(V) = 0.18146355384601762, Loss : 7.712522580888536
Epoch : 184, Mean Accuracy(U) = 0.2196374594759779, Mean Accuracy(V) = 0.18477052442070574, Loss : 7.7160568926069475
Epoch : 185, Mean Accuracy(U) = 0.21634582381129522, Mean Accuracy(V) = 0.1861367984693877, Loss : 7.7230016708374025
Epoch : 186, Mean Accuracy(U) = 0.21974184204931976, Mean Accuracy(V) = 0.18645523313492063, Loss : 7.706061331431071
Epoch : 187, Mean Accuracy(U) = 0.21871539957128683, Mean Accuracy(V) = 0.18735537020797896, Loss : 7.717375320858426
Epoch : 188, Mean Accuracy(U) = 0.21686197916666666, Mean Accuracy(V) = 0.18347422627905333, Loss : 7.701833682590061
Epoch : 189, Mean Accuracy(U) = 0.21893310546875003, Mean Accuracy(V) = 0.18545378600659015, Loss : 7.71542640791999
Epoch : 190, Mean Accuracy(U) = 0.21864647551729025, Mean Accuracy(V) = 0.18651577004499711, Loss : 7.699554326799181
Epoch : 191, Mean Accuracy(U) = 0.21820541693239792, Mean Accuracy(V) = 0.18473523198341835, Loss : 7.717997301949395
Epoch : 192, Mean Accuracy(U) = 0.21645981146364796, Mean Accuracy(V) = 0.18320841194550733, Loss : 7.710863404803806
Epoch : 193, Mean Accuracy(U) = 0.21876345264668373, Mean Accuracy(V) = 0.1878300880899235, Loss : 7.72014356719123
Epoch : 194, Mean Accuracy(U) = 0.2168500766191893, Mean Accuracy(V) = 0.1822977840224632, Loss : 7.713788588841756
Epoch : 195, Mean Accuracy(U) = 0.21945377272002545, Mean Accuracy(V) = 0.18707986775439345, Loss : 7.708343230353462
Epoch : 196, Mean Accuracy(U) = 0.2181802278202948, Mean Accuracy(V) = 0.18608924364016438, Loss : 7.709215402603149
Epoch : 197, Mean Accuracy(U) = 0.21907576995642022, Mean Accuracy(V) = 0.186572265625, Loss : 7.732376093334622
Epoch : 198, Mean Accuracy(U) = 0.2168088052278203, Mean Accuracy(V) = 0.1851205977182539, Loss : 7.70771353509691
Epoch : 199, Mean Accuracy(U) = 0.2172426946038832, Mean Accuracy(V) = 0.1841355373529621, Loss : 7.707717736562093
Epoch : 200, Mean Accuracy(U) = 0.2168600692230016, Mean Accuracy(V) = 0.1844978176817602, Loss : 7.7140085167355
Epoch : 201, Mean Accuracy(U) = 0.21896646028202957, Mean Accuracy(V) = 0.18705885837407885, Loss : 7.706599198447334
Epoch : 202, Mean Accuracy(U) = 0.21847543867807545, Mean Accuracy(V) = 0.18395143539186512, Loss : 7.709766165415446
Epoch : 203, Mean Accuracy(U) = 0.21718304346478187, Mean Accuracy(V) = 0.18582727687429146, Loss : 7.71012102233039
Epoch : 204, Mean Accuracy(U) = 0.2191928024464994, Mean Accuracy(V) = 0.1863141464268, Loss : 7.71977366871304
Epoch : 205, Mean Accuracy(U) = 0.2179195897108843, Mean Accuracy(V) = 0.1875796086663833, Loss : 7.713425641589694
Epoch : 206, Mean Accuracy(U) = 0.21707946362138597, Mean Accuracy(V) = 0.1855256718572846, Loss : 7.7016527599758575
Epoch : 207, Mean Accuracy(U) = 0.21473344383326243, Mean Accuracy(V) = 0.18359255974525227, Loss : 7.712510675854153
Epoch : 208, Mean Accuracy(U) = 0.2179695527299462, Mean Accuracy(V) = 0.1847483524659864, Loss : 7.713393550448948
Epoch : 209, Mean Accuracy(U) = 0.2176847220007794, Mean Accuracy(V) = 0.18495360220911283, Loss : 7.718592564264934
Epoch : 210, Mean Accuracy(U) = 0.21590725645727055, Mean Accuracy(V) = 0.1835560216925311, Loss : 7.70570166905721
Epoch : 211, Mean Accuracy(U) = 0.21946883082660146, Mean Accuracy(V) = 0.18576635243941328, Loss : 7.71265476014879
Epoch : 212, Mean Accuracy(U) = 0.21713731553819438, Mean Accuracy(V) = 0.18474909983524657, Loss : 7.712801016701592
Epoch : 213, Mean Accuracy(U) = 0.21872198749291377, Mean Accuracy(V) = 0.18433209546839566, Loss : 7.723817963070339
Epoch : 214, Mean Accuracy(U) = 0.21692514570932533, Mean Accuracy(V) = 0.1842702852625425, Loss : 7.708316718207465
